Metric,Value,Strategy
Total Return,-7.46%,HMA_WAE_21_8h_3mo
Annualized Return,-8.47%,HMA_WAE_21_8h_3mo
Total Trades,111,HMA_WAE_21_8h_3mo
Winning Trades,47,HMA_WAE_21_8h_3mo
Losing Trades,64,HMA_WAE_21_8h_3mo
Win Rate,42.34%,HMA_WAE_21_8h_3mo
Sharpe Ratio,-14.40,HMA_WAE_21_8h_3mo
Sortino Ratio,-14.49,HMA_WAE_21_8h_3mo
Calmar Ratio,-1.14,HMA_WAE_21_8h_3mo
Max Drawdown,-7.41%,HMA_WAE_21_8h_3mo
Volatility (Ann.),0.85%,HMA_WAE_21_8h_3mo
Profit Factor,0.59,HMA_WAE_21_8h_3mo
Average Trade,$-8.28,HMA_WAE_21_8h_3mo
Best Trade,$138.63,HMA_WAE_21_8h_3mo
Worst Trade,$-245.77,HMA_WAE_21_8h_3mo
Avg Trade Duration (hrs),8.0,HMA_WAE_21_8h_3mo
Average Daily Return,-0.0347%,HMA_WAE_21_8h_3mo
Best Day,0.52%,HMA_WAE_21_8h_3mo
Worst Day,-0.54%,HMA_WAE_21_8h_3mo
Positive Days,1,HMA_WAE_21_8h_3mo
Negative Days,220,HMA_WAE_21_8h_3mo
