Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
1,HMA_WAE_21_8h_3mo,2025-03-24 08:00:00,2025-03-24 16:00:00,Short,$88305.8350,$87541.9091,0.039595,$26.78,0.77%,$6.93,8.0,Win
2,HMA_WAE_21_8h_3mo,2025-03-25 00:00:00,2025-03-25 08:00:00,Short,$86393.6016,$87818.2572,0.040444,$-61.17,-1.75%,$7.10,8.0,Loss
3,HMA_WAE_21_8h_3mo,2025-03-25 16:00:00,2025-03-26 00:00:00,Short,$87349.1736,$88184.5202,0.039973,$-36.92,-1.06%,$7.05,8.0,Loss
4,HMA_WAE_21_8h_3mo,2025-03-26 08:00:00,2025-03-26 16:00:00,Short,$86709.1437,$86952.6246,0.040240,$-13.30,-0.38%,$7.00,8.0,Loss
5,HMA_WAE_21_8h_3mo,2025-03-27 00:00:00,2025-03-27 08:00:00,Short,$87356.2900,$87017.5570,0.039914,$10.05,0.29%,$6.95,8.0,Win
6,HMA_WAE_21_8h_3mo,2025-03-27 16:00:00,2025-03-28 00:00:00,Short,$87188.3940,$85255.5965,0.039962,$73.83,2.12%,$6.81,8.0,Win
7,HMA_WAE_21_8h_3mo,2025-03-28 08:00:00,2025-03-28 16:00:00,Short,$84009.1344,$84466.5922,0.041446,$-22.46,-0.65%,$7.00,8.0,Loss
8,HMA_WAE_21_8h_3mo,2025-03-29 00:00:00,2025-03-29 08:00:00,Short,$83689.9541,$82455.4371,0.041575,$47.90,1.38%,$6.86,8.0,Win
9,HMA_WAE_21_8h_3mo,2025-03-29 16:00:00,2025-03-30 00:00:00,Short,$82607.2157,$83118.1283,0.042091,$-25.00,-0.72%,$7.00,8.0,Loss
10,HMA_WAE_21_8h_3mo,2025-03-30 08:00:00,2025-03-30 16:00:00,Short,$82688.2052,$82431.1850,0.042020,$7.34,0.21%,$6.93,8.0,Win
11,HMA_WAE_21_8h_3mo,2025-03-31 00:00:00,2025-03-31 08:00:00,Short,$81892.5432,$83460.4894,0.042399,$-70.02,-2.02%,$7.08,8.0,Loss
12,HMA_WAE_21_8h_3mo,2025-03-31 16:00:00,2025-04-01 00:00:00,Short,$82508.7350,$83487.2228,0.042052,$-44.66,-1.29%,$7.02,8.0,Loss
13,HMA_WAE_21_8h_3mo,2025-04-01 08:00:00,2025-04-01 16:00:00,Short,$85238.2296,$85200.9192,0.040677,$-1.95,-0.06%,$6.93,8.0,Loss
14,HMA_WAE_21_8h_3mo,2025-04-02 00:00:00,2025-04-02 08:00:00,Short,$84384.1168,$86801.0488,0.041060,$-102.80,-2.97%,$7.13,8.0,Loss
15,HMA_WAE_21_8h_3mo,2025-04-02 16:00:00,2025-04-03 00:00:00,Short,$82475.0319,$83498.4784,0.041981,$-46.47,-1.34%,$7.01,8.0,Loss
16,HMA_WAE_21_8h_3mo,2025-04-03 08:00:00,2025-04-03 16:00:00,Short,$81998.2903,$83254.6965,0.042195,$-56.53,-1.63%,$7.03,8.0,Loss
17,HMA_WAE_21_8h_3mo,2025-04-04 00:00:00,2025-04-04 08:00:00,Short,$83950.8536,$82901.4300,0.041184,$39.81,1.15%,$6.83,8.0,Win
18,HMA_WAE_21_8h_3mo,2025-04-04 16:00:00,2025-04-05 00:00:00,Short,$83847.9251,$83567.1027,0.041206,$8.13,0.24%,$6.89,8.0,Win
19,HMA_WAE_21_8h_3mo,2025-04-05 08:00:00,2025-04-05 16:00:00,Short,$82576.9509,$83579.7590,0.041811,$-45.42,-1.32%,$6.99,8.0,Loss
