Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
1,HMA_WAE_21_8h,2024-06-22 08:00:00,2024-06-22 16:00:00,Short,$64274.9265,$64294.1410,0.054399,$-4.54,-0.13%,$7.00,8.0,Loss
2,HMA_WAE_21_8h,2024-06-23 00:00:00,2024-06-23 08:00:00,Short,$64383.0624,$64126.0470,0.054270,$10.47,0.30%,$6.96,8.0,Win
3,HMA_WAE_21_8h,2024-06-23 16:00:00,2024-06-24 00:00:00,Short,$63178.4050,$62487.2280,0.055266,$34.75,1.00%,$6.91,8.0,Win
4,HMA_WAE_21_8h,2024-06-24 08:00:00,2024-06-24 16:00:00,Short,$60813.5680,$60323.4466,0.057375,$24.66,0.71%,$6.92,8.0,Win
5,HMA_WAE_21_8h,2024-06-25 00:00:00,2024-06-25 08:00:00,Short,$60654.8174,$61840.9050,0.057485,$-71.74,-2.06%,$7.11,8.0,Loss
6,HMA_WAE_21_8h,2024-06-25 16:00:00,2024-06-26 00:00:00,Short,$61775.1070,$61750.8800,0.056403,$-2.12,-0.06%,$6.97,8.0,Loss
7,HMA_WAE_21_8h,2024-06-26 08:00:00,2024-06-26 16:00:00,Short,$61437.1261,$60895.4225,0.056673,$27.25,0.78%,$6.90,8.0,Win
8,HMA_WAE_21_8h,2024-06-27 00:00:00,2024-06-27 08:00:00,Short,$60763.6130,$61606.7880,0.057262,$-51.81,-1.49%,$7.06,8.0,Loss
9,HMA_WAE_21_8h,2024-06-27 16:00:00,2024-06-28 00:00:00,Short,$61675.6168,$61380.6850,0.056375,$13.17,0.38%,$6.92,8.0,Win
10,HMA_WAE_21_8h,2024-06-28 08:00:00,2024-06-28 16:00:00,Short,$61031.4790,$60458.0539,0.056930,$29.20,0.84%,$6.88,8.0,Win
11,HMA_WAE_21_8h,2024-06-29 00:00:00,2024-06-29 08:00:00,Short,$61021.7739,$61136.5530,0.056900,$-10.01,-0.29%,$6.96,8.0,Loss
