Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
1,HMA_WAE_40_BTC_12h_1y,2024-08-10 00:00:00,2024-08-19 00:00:00,Long,$60951.3404,$58367.7515,0.286827,$-757.78,-4.33%,$33.48,216.0,Loss
2,HMA_WAE_40_BTC_12h_1y,2024-09-10 12:00:00,2024-09-30 12:00:00,Long,$57664.8080,$63295.9262,0.293980,$1636.83,9.66%,$37.22,480.0,Win
3,HMA_WAE_40_BTC_12h_1y,2024-10-29 00:00:00,2024-11-03 12:00:00,Long,$71487.7360,$68741.6020,0.253156,$-712.60,-3.94%,$34.80,132.0,Loss
4,HMA_WAE_40_BTC_12h_1y,2024-11-06 12:00:00,2024-11-26 00:00:00,Long,$75609.7760,$92310.6716,0.232760,$3865.82,21.97%,$42.97,468.0,Win
5,HMA_WAE_40_BTC_12h_1y,2024-12-05 00:00:00,2024-12-11 00:00:00,Long,$102618.1935,$98243.4637,0.197856,$-885.01,-4.36%,$38.88,144.0,Loss
6,HMA_WAE_40_BTC_12h_1y,2025-01-15 12:00:00,2025-01-26 12:00:00,Long,$100547.5987,$102568.6900,0.195773,$375.59,1.91%,$40.16,264.0,Win
7,HMA_WAE_40_BTC_12h_1y,2025-03-05 12:00:00,2025-03-09 12:00:00,Long,$90651.3130,$80694.0028,0.220044,$-2208.80,-11.07%,$35.51,96.0,Loss
8,HMA_WAE_40_BTC_12h_1y,2025-04-11 12:00:00,2025-05-04 00:00:00,Long,$83465.5519,$95375.4884,0.220473,$2604.79,14.16%,$42.06,540.0,Win
9,HMA_WAE_40_BTC_12h_1y,2025-05-08 00:00:00,2025-05-17 12:00:00,Long,$99458.8446,$103075.0867,0.203344,$714.38,3.53%,$41.92,228.0,Win
10,HMA_WAE_40_BTC_12h_1y,2025-05-21 12:00:00,2025-05-29 12:00:00,Long,$109698.8120,$105536.9551,0.188918,$-806.19,-3.89%,$39.88,192.0,Loss
11,HMA_WAE_40_BTC_12h_1y,2025-06-09 12:00:00,2025-06-13 00:00:00,Long,$110318.1515,$104986.9603,0.182745,$-993.43,-4.93%,$38.37,84.0,Loss
