Metric,Value,Strategy
Total Return,21.35%,HMA_WAE_55_BTC_12h_1y
Annualized Return,7.89%,HMA_WAE_55_BTC_12h_1y
Total Trades,10,HMA_WAE_55_BTC_12h_1y
Winning Trades,6,HMA_WAE_55_BTC_12h_1y
Losing Trades,4,HMA_WAE_55_BTC_12h_1y
Win Rate,60.00%,HMA_WAE_55_BTC_12h_1y
Sharpe Ratio,0.66,HMA_WAE_55_BTC_12h_1y
Sortino Ratio,0.61,HMA_WAE_55_BTC_12h_1y
Calmar Ratio,0.97,HMA_WAE_55_BTC_12h_1y
Max Drawdown,-8.12%,HMA_WAE_55_BTC_12h_1y
Volatility (Ann.),11.78%,HMA_WAE_55_BTC_12h_1y
Profit Factor,2.87,HMA_WAE_55_BTC_12h_1y
Average Trade,$531.41,HMA_WAE_55_BTC_12h_1y
Best Trade,$3739.63,HMA_WAE_55_BTC_12h_1y
Worst Trade,$-1082.01,HMA_WAE_55_BTC_12h_1y
Avg Trade Duration (hrs),322.8,HMA_WAE_55_BTC_12h_1y
Average Daily Return,0.0311%,HMA_WAE_55_BTC_12h_1y
Best Day,5.68%,HMA_WAE_55_BTC_12h_1y
Worst Day,-3.96%,HMA_WAE_55_BTC_12h_1y
Positive Days,141,HMA_WAE_55_BTC_12h_1y
Negative Days,138,HMA_WAE_55_BTC_12h_1y
